lat,lon,year,name
38.58834,-122.43888,2022,Napa - SILVERADO 2104 - Unknown
38.76454,-122.11113,2022,Yolo - MADISON 2101 - Unknown
35.99487,-121.2179,2022,Monterey - JOLON 1103 - Unknown
38.76454,-122.11113,2022,Yolo - MADISON 2101 - Unknown
37.30675,-119.53203,2022,Madera - SAN JOAQUIN #3 1101 - Unknown
38.83535,-120.79989,2022,El Dorado - PLACERVILLE 2106 - Vegetation
37.72417,-120.19413,2022,Mariposa - BEAR VALLEY 2105 - Equipment
37.42852,-119.91182,2022,Mariposa - MARIPOSA 2102 - Unknown
37.89639,-122.15871,2022,Contra Costa - SOBRANTE 1101 - Vegetation
38.20278,-120.60258,2022,Calaveras - CALAVERAS CEMENT 1101 - Unknown
38.18018,-121.09275,2022,San Joaquin - LOCKEFORD 2102 - Unknown
40.55152,-122.39479,2022,Shasta - GIRVAN 1102 - 3rd Party
38.66065,-120.98793,2022,El Dorado - SHINGLE SPRINGS 2108 - Unknown
38.33547,-120.94094,2022,Amador - CLAY 1102 - Unknown
36.71051,-118.93965,2022,Tulare - DUNLAP 1102 - Equipment
37.09614,-122.08156,2022,Santa Cruz - BEN LOMOND 0401 - Unknown
39.20114,-121.19767,2022,Nevada - NARROWS 2105 - Company Initiated
38.84079,-121.12009,2022,Placer - PENRYN 1103 - 3rd Party
38.33547,-120.94094,2022,Amador - CLAY 1102 - Unknown
38.63247,-120.66678,2022,El Dorado - APPLE HILL 2102 - Unknown
38.68742,-121.08619,2022,El Dorado - CLARKSVILLE 2110 - Company Initiated
38.83535,-120.79989,2022,El Dorado - PLACERVILLE 2106 - Vegetation
36.71051,-118.93965,2022,Tulare - DUNLAP 1102 - Equipment
38.95332,-121.26022,2022,Placer - LINCOLN 1104 - Unknown
40.13386,-122.32478,2022,Tehama - TYLER 1105 - Unknown
38.58834,-122.43888,2022,Napa - SILVERADO 2104 - Vegetation
38.66065,-120.98793,2022,El Dorado - SHINGLE SPRINGS 2108 - Unknown
39.91039,-121.62436,2022,Butte - ORO FINO 1102 - Animal
38.02136,-120.35971,2022,Tuolumne - CURTIS 1704 - Animal
37.23969,-119.76405,2022,Madera - COARSEGOLD 2104 - Equipment
38.51908,-122.50554,2022,Napa - SILVERADO 2105 - Company Initiated
