lat,lon,year,date,end_date,name,county,circuit,cause,outage_type,division,customer_minutes,restoration_min,medical_baseline,life_support,schools,hospitals
38.88068,-121.1124,2022,2022-05-21,2022-05-21,WISE 1101,Placer,WISE 1101,Animal,FTS,Sierra,128895,195,52,33,0,0
39.65941,-121.40629,2022,2022-05-21,2022-05-21,BIG BEND 1102,Butte,BIG BEND 1102,Unknown,FTS,North Valley,65383,337,9,5,0,0
38.87762,-120.95859,2022,2022-05-21,2022-05-21,MOUNTAIN QUARRIES 2101,El Dorado,MOUNTAIN QUARRIES 2101,Unknown,FTS,Sierra,145611,369,47,30,0,0
39.20114,-121.19767,2022,2022-05-21,2022-05-21,NARROWS 2105,Nevada,NARROWS 2105,Animal,FTS,Sierra,322560,360,245,145,4,0
39.66145,-121.57291,2022,2022-05-21,2022-05-21,CLARK ROAD 1102,Butte,CLARK ROAD 1102,Unknown,FTS,North Valley,4221,63,3,2,2,0
40.33632,-122.39889,2022,2022-05-22,2022-05-22,COTTONWOOD 1101,Tehama,COTTONWOOD 1101,Unknown,FTS,North Valley,54531,249,24,15,0,0
37.16335,-122.00153,2022,2022-05-22,2022-05-22,LOS GATOS 1106,Santa Clara,LOS GATOS 1106,Unknown,FTS,De Anza,35304,149,22,18,4,0
38.48806,-122.38568,2022,2022-05-22,2022-05-23,SILVERADO 2102,Napa,SILVERADO 2102,Unknown,FTS,North Bay,103415,985,4,3,0,0
37.08268,-122.0578,2022,2022-05-23,2022-05-23,CAMP EVERS 2105,Santa Cruz,CAMP EVERS 2105,Unknown,FTS,Central Coast,2840,142,2,2,0,0
38.48251,-123.07517,2022,2022-05-23,2022-05-23,MONTE RIO 1111,Sonoma,MONTE RIO 1111,Unknown,FTS,Sonoma,40303,259,17,11,1,0
35.47419,-120.67145,2022,2022-05-23,2022-05-23,ATASCADERO 1101,San Luis Obispo,ATASCADERO 1101,Unknown,FTS,Los Padres,237912,96,191,116,6,0
39.75375,-121.58871,2022,2022-05-23,2022-05-23,PARADISE 1104,Butte,PARADISE 1104,Unknown,FTS,North Valley,188772,148,168,109,1,0
34.6311,-120.0564,2022,2022-05-23,2022-05-23,SANTA YNEZ 1104,Santa Barbara,SANTA YNEZ 1104,Company Initiated,FTS,Los Padres,18216,132,0,0,0,0
