lat,lon,year,name
40.89394,-123.57158,2020,CPUC ignition 2020-08-05
38.26541,-122.79165,2020,CPUC ignition 2020-08-05
40.56318,-122.36874,2020,CPUC ignition 2020-08-05
39.92083,-122.4535,2020,CPUC ignition 2020-08-04
37.3945,-122.0065,2020,CPUC ignition 2020-08-03
38.8973,-121.36106,2020,CPUC ignition 2020-08-03
38.67683,-121.6523,2020,CPUC ignition 2020-08-03
35.8249,-120.5452,2020,CPUC ignition 2020-08-02
36.85933,-120.34139,2020,CPUC ignition 2020-08-02
34.83807,-120.22125,2020,CPUC ignition 2020-08-02
37.41415,-122.17371,2020,CPUC ignition 2020-08-02
35.39429,-119.04561,2020,CPUC ignition 2020-08-02
34.6219,-120.2369,2020,CPUC ignition 2020-08-02
38.86786,-121.35589,2020,CPUC ignition 2020-08-01
37.69855,-122.19353,2020,CPUC ignition 2020-08-01
38.12587,-122.24137,2020,CPUC ignition 2020-07-31
39.20648,-120.94156,2020,CPUC ignition 2020-07-31
36.01905,-120.87667,2020,CPUC ignition 2020-07-30
37.31831,-120.4401,2020,CPUC ignition 2020-07-29
39.21787,-121.23957,2020,CPUC ignition 2020-07-29
38.24453,-121.45569,2020,CPUC ignition 2020-07-29
35.53166,-120.7292,2020,CPUC ignition 2020-07-28
40.68749,-122.28261,2020,CPUC ignition 2020-07-28
39.39372,-121.26011,2020,CPUC ignition 2020-07-28
40.46336,-124.24649,2020,CPUC ignition 2020-07-28
38.21074,-122.20435,2020,CPUC ignition 2020-07-27
39.18593,-122.97765,2020,CPUC ignition 2020-07-27
39.09445,-123.17856,2020,CPUC ignition 2020-07-27
38.19502,-120.68058,2020,CPUC ignition 2020-07-26
37.36763,-120.59023,2020,CPUC ignition 2020-07-26
40.1613,-122.2975,2020,CPUC ignition 2020-07-25
35.33821,-119.06125,2020,CPUC ignition 2020-07-25
39.1312,-123.1662,2020,CPUC ignition 2020-07-24
38.37982,-120.986,2020,CPUC ignition 2020-07-23
36.18901,-119.56336,2020,CPUC ignition 2020-07-22
